trace_id,user_id,firm_id,feature,timestamp,confidence_score,latency_ms,outcome,retried,escalated_to_human,source_link_clicked
T000069,U0018,F019,workpaper_draft_assistant,2025-12-31 21:42:39,0.95,1863,accepted,True,False,True
T000070,U0018,F019,anomaly_flagging,2026-02-18 11:06:59,0.72,1498,edited,False,False,True
T000071,U0018,F019,workpaper_draft_assistant,2025-11-05 06:04:02,0.99,730,accepted,False,False,True
T000072,U0018,F019,document_qa_assistant,2025-10-22 17:16:46,0.99,3285,accepted,True,False,False
T000073,U0020,F002,anomaly_flagging,2025-05-01 21:37:37,0.48,805,accepted,False,True,False
T000074,U0020,F002,risk_summary_generator,2025-08-27 03:58:57,0.71,1252,accepted,True,False,False
T000075,U0020,F002,variance_explanation,2025-07-12 08:18:42,0.76,443,accepted,False,False,True
T000076,U0020,F002,document_qa_assistant,2025-05-23 03:38:26,0.97,683,accepted,False,False,False
T000077,U0020,F002,document_qa_assistant,2025-07-27 19:52:07,0.99,1293,accepted,False,False,True
T000078,U0020,F002,anomaly_flagging,2025-05-02 12:50:19,0.96,849,accepted,False,False,False
T000079,U0020,F002,workpaper_draft_assistant,2025-08-30 04:06:19,0.72,1107,accepted,False,False,False
T000080,U0020,F002,risk_summary_generator,2025-06-05 14:56:21,0.64,564,edited,False,False,True
T000081,U0021,F022,workpaper_draft_assistant,2026-06-07 21:01:45,0.99,596,accepted,False,False,True
T000082,U0021,F022,variance_explanation,2026-04-28 07:03:27,0.77,1341,edited,False,False,True
T000083,U0021,F022,risk_summary_generator,2026-06-15 22:49:27,0.76,442,accepted,False,False,True
T000084,U0021,F022,workpaper_draft_assistant,2026-06-12 12:42:03,0.72,1047,edited,False,False,True
T000085,U0023,F018,variance_explanation,2025-07-15 21:05:58,0.84,2778,accepted,False,False,False
T000086,U0023,F018,risk_summary_generator,2025-10-23 16:34:01,0.78,1500,accepted,False,False,True
T000087,U0023,F018,workpaper_draft_assistant,2025-08-02 00:18:12,0.52,822,accepted,False,False,False
T000088,U0023,F018,risk_summary_generator,2025-08-12 19:02:55,0.84,1541,edited,False,False,False
T000089,U0023,F018,risk_summary_generator,2025-09-20 17:43:29,0.86,502,accepted,False,False,True
T000090,U0023,F018,variance_explanation,2025-07-15 07:54:45,0.84,449,accepted,False,False,True
T000091,U0023,F018,variance_explanation,2025-09-21 00:11:07,0.93,476,accepted,False,False,True
T000092,U0023,F018,anomaly_flagging,2025-09-07 05:00:51,0.62,1609,accepted,False,False,False
T000093,U0028,F021,variance_explanation,2026-01-07 09:51:17,0.85,2153,accepted,False,False,True
T000094,U0028,F021,document_qa_assistant,2026-01-05 10:35:16,0.82,679,accepted,False,False,True
T000095,U0028,F021,variance_explanation,2026-03-24 15:23:06,0.62,1937,accepted,False,False,False
T000096,U0028,F021,workpaper_draft_assistant,2026-03-03 21:44:15,0.75,1981,accepted,False,False,False
T000097,U0028,F021,risk_summary_generator,2026-03-08 21:03:01,0.63,902,accepted,False,False,True
T000098,U0028,F021,risk_summary_generator,2026-04-01 20:10:51,0.84,709,accepted,False,False,True
T000099,U0028,F021,document_qa_assistant,2026-04-13 19:52:23,0.69,3814,accepted,False,False,False
T000100,U0028,F021,anomaly_flagging,2026-01-09 05:02:47,0.54,1603,edited,False,False,False
T000101,U0030,F018,document_qa_assistant,2026-06-25 15:34:15,0.99,2857,accepted,False,False,False
T000102,U0030,F018,document_qa_assistant,2026-05-01 22:23:56,0.83,413,edited,False,False,False
T000103,U0030,F018,document_qa_assistant,2026-06-10 01:56:57,0.8,700,accepted,False,False,True
T000104,U0030,F018,variance_explanation,2026-03-28 16:51:01,0.85,825,accepted,False,False,False
T000105,U0030,F018,workpaper_draft_assistant,2026-04-09 03:04:56,0.77,1207,accepted,False,False,False
T000106,U0030,F018,variance_explanation,2026-06-20 21:38:21,0.99,565,accepted,False,False,False
T000107,U0030,F018,anomaly_flagging,2026-06-19 02:12:57,0.99,1357,accepted,False,False,False
T000108,U0030,F018,risk_summary_generator,2026-04-09 07:27:58,0.79,1333,accepted,False,False,False
T000109,U0030,F018,anomaly_flagging,2026-04-30 08:08:20,0.99,624,accepted,False,False,True
T000110,U0040,F015,anomaly_flagging,2025-07-13 00:00:04,0.84,777,accepted,False,False,False
T000111,U0040,F015,document_qa_assistant,2025-08-28 07:26:17,0.77,2903,accepted,True,False,False
T000112,U0040,F015,document_qa_assistant,2025-10-04 02:01:34,0.77,1973,rejected,False,False,True
T000113,U0040,F015,variance_explanation,2025-08-25 19:54:19,0.99,2747,accepted,False,False,True
T000114,U0040,F015,variance_explanation,2025-07-27 15:44:29,0.92,544,accepted,True,False,True
T000115,U0040,F015,variance_explanation,2025-08-26 06:13:03,0.89,649,accepted,False,False,True
T000116,U0040,F015,risk_summary_generator,2025-10-26 10:33:35,0.99,597,accepted,False,False,False
T000117,U0040,F015,variance_explanation,2025-09-28 10:01:08,0.92,1194,accepted,False,False,True
T000118,U0040,F015,document_qa_assistant,2025-10-10 15:28:03,0.84,1522,accepted,False,False,True
T000119,U0040,F015,document_qa_assistant,2025-10-03 00:24:04,0.75,504,edited,True,False,False
T000120,U0040,F015,anomaly_flagging,2025-10-17 01:33:07,0.89,777,rejected,False,True,False
T000121,U0041,F011,risk_summary_generator,2025-01-31 05:45:50,0.82,518,accepted,False,False,False
T000122,U0041,F011,risk_summary_generator,2025-04-28 19:07:00,0.79,777,accepted,True,False,False
T000123,U0041,F011,risk_summary_generator,2025-04-29 23:52:54,0.91,1112,edited,False,False,False
T000124,U0041,F011,anomaly_flagging,2025-03-05 10:08:02,0.71,1126,edited,False,False,False
T000125,U0041,F011,anomaly_flagging,2025-02-15 23:29:19,0.87,722,accepted,False,False,False
T000126,U0042,F019,anomaly_flagging,2025-11-26 23:59:24,0.99,667,accepted,False,False,True
T000127,U0042,F019,workpaper_draft_assistant,2025-12-15 12:40:25,0.92,2664,accepted,False,False,True
T000128,U0042,F019,risk_summary_generator,2025-07-27 05:47:43,0.7,1458,accepted,False,False,False
T000129,U0042,F019,workpaper_draft_assistant,2025-11-18 11:47:02,0.98,590,edited,False,False,False
T000130,U0042,F019,risk_summary_generator,2025-09-18 03:50:19,0.88,2562,edited,False,False,False
T000131,U0044,F002,workpaper_draft_assistant,2025-12-30 02:15:16,0.77,1375,accepted,False,False,False
T000132,U0044,F002,document_qa_assistant,2026-01-01 16:04:32,0.99,507,accepted,False,False,False
T000133,U0044,F002,risk_summary_generator,2026-01-27 11:41:34,0.8,619,accepted,False,False,True
T000134,U0044,F002,workpaper_draft_assistant,2026-05-09 20:15:37,0.99,1082,accepted,False,False,True
T000135,U0044,F002,variance_explanation,2026-02-25 08:12:36,0.81,980,accepted,False,False,False
T000136,U0044,F002,workpaper_draft_assistant,2026-02-01 03:07:54,0.9,3345,accepted,False,False,False
T000137,U0044,F002,risk_summary_generator,2026-02-04 01:12:36,0.68,932,edited,False,False,True
T000138,U0044,F002,variance_explanation,2026-03-28 20:41:27,0.94,1043,accepted,True,False,True
T000139,U0044,F002,workpaper_draft_assistant,2026-04-28 18:03:54,0.63,841,accepted,False,False,False
T000140,U0044,F002,workpaper_draft_assistant,2026-04-21 12:49:11,0.65,1606,accepted,False,False,False
T000141,U0044,F002,workpaper_draft_assistant,2025-12-31 15:58:44,0.91,1582,accepted,False,False,True
T000142,U0044,F002,variance_explanation,2026-01-03 04:37:51,0.99,2141,accepted,False,False,True
T000143,U0044,F002,document_qa_assistant,2026-02-11 01:52:27,0.99,463,accepted,False,False,True
T000144,U0044,F002,workpaper_draft_assistant,2026-02-26 09:09:09,0.63,514,accepted,False,False,False
T000145,U0044,F002,workpaper_draft_assistant,2026-01-23 10:29:17,0.87,754,accepted,False,False,False
T000146,U0047,F008,variance_explanation,2026-05-24 05:04:16,0.9,448,accepted,False,False,True
T000147,U0047,F008,variance_explanation,2026-05-24 08:34:42,0.84,1902,accepted,False,False,False
T000148,U0047,F008,risk_summary_generator,2026-05-18 12:35:30,0.8,1147,edited,False,False,False
T000149,U0047,F008,workpaper_draft_assistant,2026-05-29 20:04:36,0.9,1519,accepted,False,False,False
T000150,U0047,F008,risk_summary_generator,2026-06-04 01:17:46,0.7,3550,accepted,False,False,True
T000151,U0047,F008,anomaly_flagging,2026-05-23 00:57:34,0.7,758,edited,False,False,False
T000152,U0047,F008,document_qa_assistant,2026-05-22 14:05:41,0.9,1278,accepted,False,False,True
T000153,U0048,F004,anomaly_flagging,2026-02-13 04:12:29,0.79,705,accepted,False,False,False
T000154,U0048,F004,variance_explanation,2026-04-13 12:48:29,0.94,1602,accepted,False,False,True
T000155,U0048,F004,anomaly_flagging,2026-03-09 03:20:57,0.53,2679,accepted,True,False,False
T000156,U0048,F004,variance_explanation,2026-05-26 20:40:55,0.78,445,accepted,False,False,False
T000157,U0048,F004,document_qa_assistant,2026-03-13 02:04:15,0.81,480,accepted,False,False,True
T000158,U0048,F004,anomaly_flagging,2026-01-20 11:26:13,0.99,1056,accepted,False,False,True
T000159,U0048,F004,anomaly_flagging,2026-03-24 04:43:22,0.77,980,accepted,False,False,True
T000160,U0048,F004,variance_explanation,2026-01-28 02:46:51,0.57,470,accepted,False,False,False
T000161,U0048,F004,risk_summary_generator,2026-04-10 08:01:13,0.99,509,accepted,False,False,True
T000162,U0049,F014,anomaly_flagging,2026-02-16 19:10:54,0.62,1161,rejected,False,False,True
T000163,U0049,F014,anomaly_flagging,2026-03-14 14:57:28,0.78,866,edited,False,False,True
T000164,U0049,F014,risk_summary_generator,2026-02-06 04:59:34,0.88,3450,edited,False,False,True
T000165,U0049,F014,variance_explanation,2026-05-06 07:40:25,0.92,701,accepted,False,False,False
T000166,U0049,F014,risk_summary_generator,2025-12-25 08:33:35,0.99,702,accepted,False,False,False
T000167,U0049,F014,document_qa_assistant,2026-01-14 00:46:30,0.66,602,accepted,True,False,True
T000168,U0049,F014,document_qa_assistant,2026-03-24 10:56:15,0.96,698,edited,False,False,True
T000169,U0049,F014,risk_summary_generator,2026-03-24 18:02:07,0.8,508,accepted,False,False,True
T000170,U0049,F014,variance_explanation,2026-02-11 07:29:25,0.7,2595,accepted,False,False,False
T000171,U0049,F014,anomaly_flagging,2026-03-04 01:08:23,0.67,1051,accepted,False,False,True
T000172,U0049,F014,variance_explanation,2026-03-12 09:33:30,0.72,1050,edited,False,False,False
T000173,U0049,F014,workpaper_draft_assistant,2026-03-13 22:37:45,0.85,1084,accepted,False,False,False
T000174,U0049,F014,anomaly_flagging,2025-12-30 03:58:34,0.88,1231,accepted,False,False,False
T000175,U0050,F021,workpaper_draft_assistant,2026-01-18 16:52:32,0.65,583,accepted,False,False,False
T000176,U0050,F021,anomaly_flagging,2025-11-09 05:55:05,0.97,820,edited,False,False,False
T000177,U0050,F021,workpaper_draft_assistant,2025-11-03 04:48:04,0.9,437,edited,False,False,False
T000178,U0050,F021,anomaly_flagging,2025-11-13 03:06:51,0.63,938,rejected,False,True,False
T000179,U0050,F021,anomaly_flagging,2025-09-13 22:24:41,0.77,604,accepted,False,False,True
T000180,U0050,F021,anomaly_flagging,2025-09-07 04:31:33,0.78,4229,accepted,False,False,False
T000181,U0050,F021,anomaly_flagging,2025-10-19 16:09:30,0.61,434,accepted,False,False,False
T000182,U0050,F021,risk_summary_generator,2025-12-04 17:29:01,0.69,1095,accepted,False,False,True
T000183,U0050,F021,workpaper_draft_assistant,2026-01-30 02:53:46,0.98,529,accepted,False,False,True
T000184,U0050,F021,variance_explanation,2025-09-20 16:02:09,0.77,1652,accepted,False,False,True
T000185,U0050,F021,variance_explanation,2026-01-08 04:37:55,0.99,494,accepted,False,False,False
T000186,U0050,F021,workpaper_draft_assistant,2025-09-16 08:28:16,0.81,1291,accepted,True,False,False
T000187,U0052,F018,variance_explanation,2026-02-23 20:08:56,0.8,867,edited,True,False,False
T000188,U0052,F018,variance_explanation,2026-04-20 09:22:23,0.77,1856,accepted,False,False,False
T000189,U0052,F018,document_qa_assistant,2026-04-14 12:43:59,0.96,1615,accepted,False,False,True
T000190,U0052,F018,risk_summary_generator,2026-03-04 08:37:41,0.88,755,accepted,False,False,False
T000191,U0052,F018,risk_summary_generator,2026-05-30 02:35:57,0.78,528,accepted,False,False,True
T000192,U0052,F018,variance_explanation,2026-05-07 22:05:56,0.99,1620,edited,False,False,True
T000193,U0056,F025,variance_explanation,2025-12-22 22:38:35,0.97,472,accepted,False,False,True
T000194,U0056,F025,document_qa_assistant,2025-11-15 21:31:33,0.74,875,accepted,False,False,False
T000195,U0056,F025,variance_explanation,2026-02-15 18:30:08,0.83,1648,accepted,False,False,False
T000196,U0056,F025,document_qa_assistant,2026-01-12 21:12:53,0.99,1050,accepted,False,False,True
T000197,U0056,F025,risk_summary_generator,2025-10-28 02:48:53,0.91,1838,edited,False,False,False
T000198,U0062,F002,anomaly_flagging,2025-04-11 19:12:54,0.79,457,edited,False,False,False
T000199,U0062,F002,workpaper_draft_assistant,2025-07-22 16:03:25,0.7,1028,accepted,False,False,False
T000200,U0062,F002,anomaly_flagging,2025-05-12 11:58:01,0.59,2155,accepted,False,False,True
T000201,U0062,F002,anomaly_flagging,2025-07-05 11:27:43,0.78,718,edited,False,False,True
T000202,U0062,F002,workpaper_draft_assistant,2025-06-23 13:10:32,0.79,3659,accepted,False,False,True
T000203,U0062,F002,workpaper_draft_assistant,2025-06-11 23:47:13,0.74,764,accepted,False,False,False
T000204,U0062,F002,variance_explanation,2025-05-08 20:43:44,0.75,1946,edited,False,False,False
T000205,U0062,F002,variance_explanation,2025-05-12 14:50:27,0.54,448,edited,False,False,False
T000206,U0062,F002,variance_explanation,2025-05-23 12:26:10,0.75,955,accepted,False,False,True
T000207,U0062,F002,document_qa_assistant,2025-04-17 20:58:19,0.86,697,accepted,False,False,True
T000208,U0065,F003,document_qa_assistant,2026-06-26 04:23:52,0.66,424,accepted,False,False,False
T000209,U0066,F003,workpaper_draft_assistant,2026-02-23 15:42:27,0.58,3271,accepted,True,False,True
T000210,U0066,F003,anomaly_flagging,2026-06-26 19:16:17,0.77,1180,edited,False,False,True
T000211,U0066,F003,risk_summary_generator,2026-05-28 20:16:39,0.73,6447,accepted,False,False,True
T000212,U0066,F003,document_qa_assistant,2026-05-12 21:32:06,0.6,1946,accepted,False,False,False
T000213,U0066,F003,document_qa_assistant,2026-03-05 12:55:25,0.89,669,edited,False,False,False
T000214,U0066,F003,workpaper_draft_assistant,2026-06-06 10:31:57,0.42,510,edited,False,False,False
T000215,U0066,F003,variance_explanation,2026-03-08 05:32:36,0.8,1161,edited,False,False,True
T000216,U0068,F020,workpaper_draft_assistant,2025-07-16 06:26:03,0.82,1642,accepted,False,False,False
T000217,U0068,F020,anomaly_flagging,2025-04-19 08:27:23,0.99,868,accepted,False,False,False
T000218,U0068,F020,anomaly_flagging,2025-08-07 21:06:39,0.99,451,accepted,False,False,True
T000219,U0068,F020,risk_summary_generator,2025-07-02 11:35:56,0.82,1231,accepted,False,False,True
T000220,U0068,F020,risk_summary_generator,2025-05-18 15:40:31,0.98,685,accepted,False,False,False
T000221,U0068,F020,anomaly_flagging,2025-04-20 12:38:47,0.86,1250,accepted,False,False,True
T000222,U0070,F007,document_qa_assistant,2026-05-21 10:30:11,0.72,408,edited,False,False,False
T000223,U0070,F007,workpaper_draft_assistant,2026-05-05 08:26:06,0.99,474,accepted,False,False,True
T000224,U0070,F007,workpaper_draft_assistant,2026-04-15 21:47:12,0.83,2191,edited,False,False,False
T000225,U0070,F007,risk_summary_generator,2026-05-27 00:14:33,0.97,1187,accepted,False,False,True
T000226,U0070,F007,variance_explanation,2026-06-19 20:47:43,0.85,818,accepted,False,False,True
T000227,U0070,F007,variance_explanation,2026-05-06 04:22:00,0.77,1183,accepted,False,False,True
T000228,U0070,F007,risk_summary_generator,2026-05-13 10:08:17,0.73,651,accepted,False,False,True
T000229,U0070,F007,document_qa_assistant,2026-04-28 08:05:55,0.93,3459,accepted,False,False,False
T000230,U0070,F007,risk_summary_generator,2026-06-17 16:30:36,0.78,2378,accepted,False,False,False
T000231,U0072,F011,workpaper_draft_assistant,2025-04-10 15:46:43,0.74,3716,accepted,False,False,False
T000232,U0072,F011,variance_explanation,2025-05-19 20:19:20,0.68,1760,accepted,False,False,True
T000233,U0072,F011,workpaper_draft_assistant,2025-04-03 08:57:12,0.98,1241,accepted,False,False,False
T000234,U0072,F011,variance_explanation,2025-05-21 09:39:31,0.96,459,accepted,False,False,True
T000235,U0072,F011,anomaly_flagging,2025-08-06 10:17:20,0.7,2058,accepted,False,False,True
T000236,U0073,F019,variance_explanation,2025-07-18 00:06:59,0.66,520,accepted,False,False,False
T000237,U0073,F019,risk_summary_generator,2025-07-09 01:24:47,0.95,1553,accepted,False,False,True
T000238,U0073,F019,risk_summary_generator,2025-10-21 08:32:44,0.71,620,accepted,False,False,False
T000239,U0073,F019,document_qa_assistant,2025-07-10 10:55:34,0.79,928,edited,False,False,False
T000240,U0073,F019,anomaly_flagging,2025-09-27 22:56:18,0.96,463,accepted,False,False,False
T000241,U0073,F019,document_qa_assistant,2025-06-18 07:58:15,0.83,1753,accepted,False,False,False
T000242,U0075,F003,document_qa_assistant,2026-06-29 06:24:54,0.67,1902,edited,False,False,True
T000243,U0075,F003,document_qa_assistant,2026-06-07 10:35:32,0.98,951,accepted,False,False,False
T000244,U0080,F024,variance_explanation,2026-04-07 04:42:16,0.82,1077,edited,True,False,False
T000245,U0080,F024,variance_explanation,2026-04-20 03:17:09,0.73,913,edited,False,False,True
T000246,U0080,F024,variance_explanation,2026-06-03 02:18:38,0.85,677,edited,False,False,True
T000247,U0080,F024,document_qa_assistant,2026-03-04 05:42:57,0.96,560,edited,False,False,False
T000248,U0080,F024,document_qa_assistant,2026-03-28 05:52:35,0.91,1003,edited,False,False,True
T000249,U0080,F024,variance_explanation,2026-03-17 00:29:47,0.49,501,accepted,True,False,True
T000250,U0080,F024,workpaper_draft_assistant,2026-04-24 17:39:16,0.99,2222,accepted,False,False,True
T000251,U0080,F024,anomaly_flagging,2026-03-17 01:13:47,0.93,741,accepted,False,False,False
T000252,U0080,F024,anomaly_flagging,2026-04-25 04:46:35,0.99,445,edited,False,False,False
T000253,U0081,F020,workpaper_draft_assistant,2025-10-04 15:07:24,0.99,1231,accepted,False,False,False
T000254,U0081,F020,document_qa_assistant,2025-07-05 03:28:44,0.79,422,edited,False,False,True
T000255,U0081,F020,variance_explanation,2025-08-15 11:47:11,0.58,419,accepted,False,False,True
T000256,U0081,F020,workpaper_draft_assistant,2025-09-22 07:22:43,0.67,1952,accepted,False,False,False
T000257,U0081,F020,variance_explanation,2025-09-01 10:36:13,0.83,1097,accepted,False,False,True
T000258,U0081,F020,workpaper_draft_assistant,2025-08-07 17:35:53,0.97,4040,accepted,False,False,False
T000259,U0081,F020,risk_summary_generator,2025-09-02 00:37:36,0.89,615,rejected,False,False,False
T000260,U0081,F020,variance_explanation,2025-06-24 16:27:59,0.99,1975,accepted,False,False,True
T000261,U0081,F020,workpaper_draft_assistant,2025-07-26 16:16:40,0.99,2158,accepted,False,False,False
T000262,U0082,F021,document_qa_assistant,2025-12-29 03:28:22,0.86,2234,accepted,False,False,False
T000263,U0082,F021,anomaly_flagging,2026-02-09 03:03:15,0.57,472,accepted,False,False,False
T000264,U0082,F021,document_qa_assistant,2026-05-02 08:27:45,0.51,1949,accepted,False,False,True
T000265,U0082,F021,variance_explanation,2026-03-04 05:29:01,0.67,2897,accepted,False,False,False
T000266,U0082,F021,risk_summary_generator,2025-12-09 09:45:46,0.85,1119,accepted,False,False,False
T000267,U0082,F021,anomaly_flagging,2026-04-26 18:11:51,0.92,422,accepted,False,False,True
T000268,U0082,F021,workpaper_draft_assistant,2026-04-10 18:43:47,0.63,1049,accepted,False,False,False
T000269,U0082,F021,variance_explanation,2026-01-03 15:29:57,0.9,486,accepted,False,False,False
T000270,U0082,F021,variance_explanation,2026-01-18 18:55:49,0.54,1658,edited,True,False,True
T000271,U0082,F021,workpaper_draft_assistant,2026-01-06 01:25:19,0.75,452,edited,False,False,False
T000272,U0082,F021,risk_summary_generator,2026-04-21 17:44:17,0.75,2051,accepted,False,False,True
T000273,U0082,F021,workpaper_draft_assistant,2025-12-10 10:48:15,0.8,6149,accepted,False,False,False
T000274,U0082,F021,risk_summary_generator,2026-02-15 19:01:22,0.79,787,accepted,False,False,False
T000275,U0082,F021,document_qa_assistant,2026-01-19 05:09:08,0.92,1182,accepted,False,False,False
T000276,U0082,F021,anomaly_flagging,2026-03-13 18:54:36,0.99,1412,accepted,False,False,True
T000277,U0083,F002,variance_explanation,2025-05-17 05:58:47,0.76,1320,accepted,False,False,True
T000278,U0083,F002,risk_summary_generator,2025-07-28 06:31:31,0.93,909,accepted,True,False,False
T000279,U0083,F002,anomaly_flagging,2025-07-01 06:49:58,0.83,563,accepted,False,False,False
T000280,U0083,F002,document_qa_assistant,2025-05-07 02:13:29,0.76,620,accepted,False,False,True
